round,loss,accuracy
0,0.0235,0.4667
1,0.0232,0.4667
2,0.0229,0.5000
3,0.0226,0.5500
4,0.0223,0.5667
5,0.0220,0.6000
6,0.0217,0.6167
7,0.0213,0.6333
8,0.0210,0.7167
9,0.0206,0.7500
10,0.0203,0.7500
11,0.0199,0.7667
12,0.0196,0.7833
13,0.0192,0.8000
14,0.0188,0.8167
15,0.0184,0.8167
