round,cid,phase,loss,accuracy,num_samples
10,1,evaluate,0.0844,0.8571,7
11,6,fit,0.6505,0.6258,31
11,5,fit,0.6052,0.6692,26
11,4,fit,0.6105,0.7385,26
11,1,fit,0.6328,0.7077,26
11,3,fit,0.5982,0.7769,26
11,0,fit,0.5839,0.9231,26
11,2,fit,0.5959,0.8077,26
11,5,evaluate,0.1034,0.4286,7
11,1,evaluate,0.0831,0.8571,7
11,6,evaluate,0.0757,0.8750,8
11,3,evaluate,0.0920,0.5714,7
11,0,evaluate,0.0787,0.8571,7
11,2,evaluate,0.0948,0.5714,7
11,4,evaluate,0.1012,0.2857,7
12,6,fit,0.6418,0.6645,31
12,4,fit,0.6059,0.7154,26
12,0,fit,0.5745,0.9231,26
12,5,fit,0.5925,0.6846,26
12,3,fit,0.5849,0.7923,26
12,2,fit,0.5918,0.8077,26
12,1,fit,0.6267,0.7385,26
12,5,evaluate,0.1023,0.4286,7
12,3,evaluate,0.0905,0.5714,7
12,2,evaluate,0.0939,0.5714,7
12,6,evaluate,0.0750,0.8750,8
12,0,evaluate,0.0775,1.0000,7
12,1,evaluate,0.0817,0.8571,7
12,4,evaluate,0.1006,0.2857,7
13,0,fit,0.5647,0.9615,26
13,1,fit,0.6204,0.7615,26
13,3,fit,0.5714,0.8154,26
13,5,fit,0.5792,0.6923,26
13,2,fit,0.5875,0.8077,26
13,4,fit,0.6008,0.7077,26
13,6,fit,0.6332,0.6839,31
13,6,evaluate,0.0741,0.7500,8
13,1,evaluate,0.0802,0.8571,7
13,4,evaluate,0.1000,0.2857,7
13,5,evaluate,0.1013,0.4286,7
13,2,evaluate,0.0929,0.5714,7
13,3,evaluate,0.0890,0.5714,7
13,0,evaluate,0.0762,1.0000,7
14,4,fit,0.5951,0.7000,26
14,5,fit,0.5655,0.6923,26
14,0,fit,0.5539,0.9615,26
14,1,fit,0.6135,0.7692,26
14,2,fit,0.5827,0.7846,26
14,6,fit,0.6246,0.6903,31
14,3,fit,0.5577,0.8462,26
14,5,evaluate,0.1005,0.5714,7
14,0,evaluate,0.0748,1.0000,7
14,3,evaluate,0.0876,0.5714,7
14,2,evaluate,0.0919,0.7143,7
14,4,evaluate,0.0994,0.2857,7
14,1,evaluate,0.0786,0.8571,7
14,6,evaluate,0.0732,0.7500,8
15,6,fit,0.6161,0.6968,31
15,4,fit,0.5891,0.7000,26
15,2,fit,0.5772,0.7692,26
15,3,fit,0.5440,0.8769,26
15,1,fit,0.6062,0.7692,26
15,0,fit,0.5427,0.9615,26
15,5,fit,0.5517,0.7077,26
15,0,evaluate,0.0733,1.0000,7
15,5,evaluate,0.0998,0.5714,7
15,3,evaluate,0.0863,0.5714,7
15,2,evaluate,0.0909,0.7143,7
15,6,evaluate,0.0721,0.8750,8
15,1,evaluate,0.0770,0.8571,7
15,4,evaluate,0.0986,0.4286,7
