round,cid,location,phase,loss,accuracy,num_samples
5,6,Switzerland,fit,0.4822,1.0000,25
5,3,Hungarian,fit,0.5927,0.7645,62
5,11,VA_Long_Beach,fit,0.5921,0.7209,43
5,8,Switzerland,fit,0.5130,0.9630,27
5,2,Cleveland,fit,0.5557,0.8246,65
5,1,Cleveland,evaluate,0.0399,0.6250,16
5,10,VA_Long_Beach,evaluate,0.0503,0.8182,11
5,7,Switzerland,evaluate,0.0704,1.0000,7
5,8,Switzerland,evaluate,0.0850,0.7143,7
5,9,VA_Long_Beach,evaluate,0.0533,0.8182,11
5,11,VA_Long_Beach,evaluate,0.0555,0.7273,11
5,0,Cleveland,evaluate,0.0371,0.6875,16
5,4,Hungarian,evaluate,0.0399,0.7500,16
5,3,Hungarian,evaluate,0.0372,0.8750,16
5,6,Switzerland,evaluate,0.0914,0.5714,7
5,5,Hungarian,evaluate,0.0362,0.6875,16
5,2,Cleveland,evaluate,0.0566,0.8235,17
6,8,Switzerland,fit,0.5042,0.9481,27
6,1,Cleveland,fit,0.5607,0.7438,64
6,11,VA_Long_Beach,fit,0.5768,0.7442,43
6,6,Switzerland,fit,0.4701,1.0000,25
6,0,Cleveland,fit,0.5226,0.8406,64
6,2,Cleveland,fit,0.5085,0.8185,65
6,10,VA_Long_Beach,fit,0.6048,0.6286,42
6,4,Hungarian,fit,0.5746,0.7774,62
6,3,Hungarian,fit,0.5389,0.8452,62
6,9,VA_Long_Beach,fit,0.5803,0.7619,42
6,7,Switzerland,fit,0.5263,0.8800,25
6,5,Hungarian,fit,0.5844,0.7873,63
6,2,Cleveland,evaluate,0.0483,0.8824,17
6,10,VA_Long_Beach,evaluate,0.0491,0.8182,11
6,5,Hungarian,evaluate,0.0327,0.8750,16
6,7,Switzerland,evaluate,0.0683,1.0000,7
6,8,Switzerland,evaluate,0.0824,0.8571,7
6,0,Cleveland,evaluate,0.0340,0.8125,16
6,1,Cleveland,evaluate,0.0384,0.6250,16
6,4,Hungarian,evaluate,0.0382,0.7500,16
6,9,VA_Long_Beach,evaluate,0.0529,0.8182,11
6,11,VA_Long_Beach,evaluate,0.0553,0.7273,11
6,3,Hungarian,evaluate,0.0354,0.8750,16
6,6,Switzerland,evaluate,0.0937,0.5714,7
7,0,Cleveland,fit,0.4873,0.8469,64
7,3,Hungarian,fit,0.4885,0.9032,62
7,11,VA_Long_Beach,fit,0.5698,0.7674,43
7,7,Switzerland,fit,0.5344,0.8800,25
7,4,Hungarian,fit,0.5403,0.8065,62
7,10,VA_Long_Beach,fit,0.6000,0.6762,42
7,8,Switzerland,fit,0.4933,0.9259,27
7,2,Cleveland,fit,0.4765,0.8185,65
7,9,VA_Long_Beach,fit,0.5770,0.7476,42
7,5,Hungarian,fit,0.5518,0.8095,63
7,1,Cleveland,fit,0.5359,0.7656,64
7,6,Switzerland,fit,0.4594,0.9920,25
7,5,Hungarian,evaluate,0.0295,1.0000,16
7,7,Switzerland,evaluate,0.0655,1.0000,7
7,1,Cleveland,evaluate,0.0372,0.6875,16
7,2,Cleveland,evaluate,0.0411,0.8824,17
7,8,Switzerland,evaluate,0.0798,0.8571,7
7,11,VA_Long_Beach,evaluate,0.0550,0.7273,11
7,4,Hungarian,evaluate,0.0367,0.7500,16
7,10,VA_Long_Beach,evaluate,0.0478,0.8182,11
7,6,Switzerland,evaluate,0.0959,0.5714,7
7,9,VA_Long_Beach,evaluate,0.0521,0.8182,11
7,3,Hungarian,evaluate,0.0340,0.8125,16
7,0,Cleveland,evaluate,0.0311,0.8750,16
8,11,VA_Long_Beach,fit,0.5565,0.7442,43
8,6,Switzerland,fit,0.4478,0.9760,25
8,2,Cleveland,fit,0.4958,0.8031,65
8,1,Cleveland,fit,0.5177,0.7656,64
8,10,VA_Long_Beach,fit,0.5935,0.6905,42
8,3,Hungarian,fit,0.4402,0.9097,62
8,9,VA_Long_Beach,fit,0.5640,0.7524,42
8,5,Hungarian,fit,0.5246,0.8159,63
8,8,Switzerland,fit,0.4800,0.9259,27
8,0,Cleveland,fit,0.4582,0.8438,64
8,4,Hungarian,fit,0.5130,0.8194,62
8,7,Switzerland,fit,0.5119,0.8720,25
8,11,VA_Long_Beach,evaluate,0.0548,0.7273,11
8,9,VA_Long_Beach,evaluate,0.0514,0.8182,11
8,0,Cleveland,evaluate,0.0287,0.8750,16
8,8,Switzerland,evaluate,0.0771,0.8571,7
8,1,Cleveland,evaluate,0.0363,0.6875,16
8,6,Switzerland,evaluate,0.0981,0.5714,7
8,5,Hungarian,evaluate,0.0266,1.0000,16
8,2,Cleveland,evaluate,0.0356,0.8824,17
8,3,Hungarian,evaluate,0.0330,0.7500,16
8,4,Hungarian,evaluate,0.0355,0.6875,16
8,10,VA_Long_Beach,evaluate,0.0465,0.8182,11
8,7,Switzerland,evaluate,0.0627,1.0000,7
9,6,Switzerland,fit,0.4244,0.9680,25
9,3,Hungarian,fit,0.3977,0.9258,62
9,0,Cleveland,fit,0.4318,0.8438,64
9,5,Hungarian,fit,0.5010,0.8254,63
9,2,Cleveland,fit,0.4256,0.8092,65
9,11,VA_Long_Beach,fit,0.5485,0.7674,43
9,7,Switzerland,fit,0.5116,0.8720,25
9,8,Switzerland,fit,0.4765,0.9259,27
9,9,VA_Long_Beach,fit,0.5535,0.7429,42
9,10,VA_Long_Beach,fit,0.5799,0.7143,42
9,1,Cleveland,fit,0.5014,0.7719,64
9,4,Hungarian,fit,0.4911,0.8290,62
9,2,Cleveland,evaluate,0.0313,0.9412,17
9,3,Hungarian,evaluate,0.0324,0.7500,16
9,10,VA_Long_Beach,evaluate,0.0449,0.8182,11
9,11,VA_Long_Beach,evaluate,0.0548,0.7273,11
9,6,Switzerland,evaluate,0.1008,0.5714,7
9,7,Switzerland,evaluate,0.0592,1.0000,7
9,8,Switzerland,evaluate,0.0744,0.8571,7
9,5,Hungarian,evaluate,0.0241,1.0000,16
9,1,Cleveland,evaluate,0.0356,0.6875,16
9,9,VA_Long_Beach,evaluate,0.0503,0.8182,11
9,4,Hungarian,evaluate,0.0346,0.6875,16
9,0,Cleveland,evaluate,0.0266,0.8125,16
10,3,Hungarian,fit,0.3692,0.9323,62
10,10,VA_Long_Beach,fit,0.5709,0.7143,42
10,7,Switzerland,fit,0.5010,0.8560,25
10,2,Cleveland,fit,0.4034,0.8123,65
10,4,Hungarian,fit,0.4743,0.8129,62
10,11,VA_Long_Beach,fit,0.5350,0.7674,43
10,9,VA_Long_Beach,fit,0.5462,0.7381,42
10,6,Switzerland,fit,0.4094,0.9600,25
10,1,Cleveland,fit,0.4907,0.7781,64
10,0,Cleveland,fit,0.4070,0.8500,64
10,8,Switzerland,fit,0.4567,0.9259,27
10,5,Hungarian,fit,0.4807,0.8349,63
10,3,Hungarian,evaluate,0.0320,0.7500,16
10,1,Cleveland,evaluate,0.0351,0.6875,16
10,11,VA_Long_Beach,evaluate,0.0549,0.7273,11
10,0,Cleveland,evaluate,0.0252,0.8125,16
10,4,Hungarian,evaluate,0.0339,0.6875,16
10,8,Switzerland,evaluate,0.0721,0.8571,7
10,6,Switzerland,evaluate,0.1027,0.5714,7
10,5,Hungarian,evaluate,0.0223,1.0000,16
10,7,Switzerland,evaluate,0.0555,1.0000,7
10,9,VA_Long_Beach,evaluate,0.0492,0.8182,11
10,10,VA_Long_Beach,evaluate,0.0432,0.8182,11
10,2,Cleveland,evaluate,0.0286,0.9412,17
11,7,Switzerland,fit,0.4879,0.8800,25
11,4,Hungarian,fit,0.4623,0.7968,62
11,10,VA_Long_Beach,fit,0.5673,0.7143,42
11,6,Switzerland,fit,0.3967,0.9600,25
11,9,VA_Long_Beach,fit,0.5340,0.7381,42
11,0,Cleveland,fit,0.3881,0.8469,64
11,1,Cleveland,fit,0.4799,0.7812,64
11,3,Hungarian,fit,0.3455,0.9323,62
11,11,VA_Long_Beach,fit,0.5262,0.7674,43
11,8,Switzerland,fit,0.4401,0.9259,27
11,2,Cleveland,fit,0.5191,0.8123,65
11,5,Hungarian,fit,0.4656,0.8413,63
11,3,Hungarian,evaluate,0.0318,0.7500,16
11,11,VA_Long_Beach,evaluate,0.0550,0.7273,11
11,8,Switzerland,evaluate,0.0701,0.8571,7
11,4,Hungarian,evaluate,0.0335,0.6875,16
11,2,Cleveland,evaluate,0.0268,0.9412,17
11,0,Cleveland,evaluate,0.0241,0.8125,16
11,7,Switzerland,evaluate,0.0517,1.0000,7
11,9,VA_Long_Beach,evaluate,0.0482,0.8182,11
11,10,VA_Long_Beach,evaluate,0.0414,0.8182,11
11,1,Cleveland,evaluate,0.0346,0.7500,16
11,6,Switzerland,evaluate,0.1038,0.5714,7
11,5,Hungarian,evaluate,0.0211,0.9375,16
12,4,Hungarian,fit,0.4505,0.7968,62
12,7,Switzerland,fit,0.4773,0.8720,25
12,2,Cleveland,fit,0.3864,0.8123,65
12,0,Cleveland,fit,0.3717,0.8531,64
12,3,Hungarian,fit,0.3249,0.9323,62
12,9,VA_Long_Beach,fit,0.5279,0.7381,42
12,10,VA_Long_Beach,fit,0.5577,0.7476,42
12,8,Switzerland,fit,0.4280,0.9259,27
12,11,VA_Long_Beach,fit,0.5121,0.7674,43
12,6,Switzerland,fit,0.3657,0.9600,25
12,1,Cleveland,fit,0.4749,0.7812,64
12,5,Hungarian,fit,0.4519,0.8413,63
12,2,Cleveland,evaluate,0.0254,0.9412,17
12,7,Switzerland,evaluate,0.0481,1.0000,7
12,4,Hungarian,evaluate,0.0332,0.6875,16
12,10,VA_Long_Beach,evaluate,0.0399,0.8182,11
12,6,Switzerland,evaluate,0.1051,0.5714,7
12,3,Hungarian,evaluate,0.0317,0.7500,16
12,1,Cleveland,evaluate,0.0343,0.7500,16
12,8,Switzerland,evaluate,0.0683,0.8571,7
12,11,VA_Long_Beach,evaluate,0.0552,0.7273,11
12,9,VA_Long_Beach,evaluate,0.0475,0.8182,11
12,5,Hungarian,evaluate,0.0200,0.9375,16
12,0,Cleveland,evaluate,0.0232,0.8125,16
13,11,VA_Long_Beach,fit,0.5057,0.7674,43
13,9,VA_Long_Beach,fit,0.5097,0.7571,42
13,4,Hungarian,fit,0.4385,0.8000,62
13,3,Hungarian,fit,0.3096,0.9323,62
13,6,Switzerland,fit,0.3486,0.9600,25
13,7,Switzerland,fit,0.4523,0.8800,25
13,10,VA_Long_Beach,fit,0.5505,0.7571,42
13,5,Hungarian,fit,0.4363,0.8476,63
13,8,Switzerland,fit,0.4115,0.9259,27
13,1,Cleveland,fit,0.4673,0.7844,64
13,0,Cleveland,fit,0.3584,0.8531,64
13,2,Cleveland,fit,0.3408,0.8154,65
13,5,Hungarian,evaluate,0.0193,0.9375,16
13,2,Cleveland,evaluate,0.0243,0.9412,17
13,11,VA_Long_Beach,evaluate,0.0554,0.7273,11
13,10,VA_Long_Beach,evaluate,0.0385,0.8182,11
13,6,Switzerland,evaluate,0.1057,0.5714,7
13,9,VA_Long_Beach,evaluate,0.0467,0.8182,11
13,0,Cleveland,evaluate,0.0226,0.8125,16
13,3,Hungarian,evaluate,0.0316,0.7500,16
13,8,Switzerland,evaluate,0.0667,0.8571,7
13,1,Cleveland,evaluate,0.0340,0.7500,16
13,7,Switzerland,evaluate,0.0443,1.0000,7
13,4,Hungarian,evaluate,0.0329,0.6875,16
14,4,Hungarian,fit,0.4338,0.7968,62
14,9,VA_Long_Beach,fit,0.5205,0.7619,42
14,10,VA_Long_Beach,fit,0.5430,0.7476,42
14,5,Hungarian,fit,0.4258,0.8508,63
14,11,VA_Long_Beach,fit,0.5039,0.7674,43
14,8,Switzerland,fit,0.3977,0.9259,27
14,3,Hungarian,fit,0.3010,0.9355,62
14,6,Switzerland,fit,0.3307,0.9600,25
14,0,Cleveland,fit,0.3462,0.8594,64
14,7,Switzerland,fit,0.4473,0.8800,25
14,1,Cleveland,fit,0.4626,0.7875,64
14,2,Cleveland,fit,0.4717,0.8154,65
14,8,Switzerland,evaluate,0.0655,0.8571,7
14,2,Cleveland,evaluate,0.0236,0.9412,17
14,9,VA_Long_Beach,evaluate,0.0462,0.8182,11
14,1,Cleveland,evaluate,0.0338,0.7500,16
14,0,Cleveland,evaluate,0.0222,0.8125,16
14,7,Switzerland,evaluate,0.0413,1.0000,7
14,4,Hungarian,evaluate,0.0328,0.6875,16
14,11,VA_Long_Beach,evaluate,0.0557,0.7273,11
14,6,Switzerland,evaluate,0.1060,0.5714,7
14,5,Hungarian,evaluate,0.0188,0.9375,16
14,3,Hungarian,evaluate,0.0317,0.7500,16
14,10,VA_Long_Beach,evaluate,0.0375,0.8182,11
15,11,VA_Long_Beach,fit,0.4933,0.7674,43
15,6,Switzerland,fit,0.3148,0.9600,25
15,0,Cleveland,fit,0.3372,0.8688,64
15,8,Switzerland,fit,0.3877,0.9259,27
15,3,Hungarian,fit,0.2854,0.9355,62
15,4,Hungarian,fit,0.4278,0.8065,62
15,9,VA_Long_Beach,fit,0.5086,0.7619,42
15,1,Cleveland,fit,0.4583,0.7875,64
15,5,Hungarian,fit,0.4184,0.8508,63
15,2,Cleveland,fit,0.3448,0.8277,65
15,10,VA_Long_Beach,fit,0.5293,0.7524,42
15,7,Switzerland,fit,0.4383,0.8880,25
15,2,Cleveland,evaluate,0.0230,0.9412,17
15,6,Switzerland,evaluate,0.1063,0.5714,7
15,4,Hungarian,evaluate,0.0327,0.6875,16
15,11,VA_Long_Beach,evaluate,0.0562,0.7273,11
15,7,Switzerland,evaluate,0.0383,1.0000,7
15,5,Hungarian,evaluate,0.0183,0.9375,16
15,8,Switzerland,evaluate,0.0643,0.8571,7
15,10,VA_Long_Beach,evaluate,0.0363,0.8182,11
15,9,VA_Long_Beach,evaluate,0.0457,0.8182,11
15,1,Cleveland,evaluate,0.0336,0.6875,16
15,3,Hungarian,evaluate,0.0318,0.7500,16
15,0,Cleveland,evaluate,0.0218,0.8125,16
16,1,Cleveland,fit,0.4578,0.7875,64
16,8,Switzerland,fit,0.3749,0.9259,27
16,0,Cleveland,fit,0.3269,0.8750,64
16,9,VA_Long_Beach,fit,0.5055,0.7571,42
16,2,Cleveland,fit,0.3356,0.8308,65
16,10,VA_Long_Beach,fit,0.5434,0.7571,42
16,6,Switzerland,fit,0.3049,0.9600,25
16,3,Hungarian,fit,0.2791,0.9355,62
16,5,Hungarian,fit,0.4101,0.8571,63
16,7,Switzerland,fit,0.4127,0.8960,25
16,4,Hungarian,fit,0.4165,0.8065,62
16,11,VA_Long_Beach,fit,0.4934,0.7674,43
16,10,VA_Long_Beach,evaluate,0.0355,0.8182,11
16,3,Hungarian,evaluate,0.0319,0.7500,16
16,1,Cleveland,evaluate,0.0335,0.6875,16
16,0,Cleveland,evaluate,0.0216,0.8125,16
16,11,VA_Long_Beach,evaluate,0.0566,0.7273,11
16,6,Switzerland,evaluate,0.1064,0.5714,7
16,9,VA_Long_Beach,evaluate,0.0454,0.8182,11
16,2,Cleveland,evaluate,0.0226,0.9412,17
16,4,Hungarian,evaluate,0.0327,0.6875,16
16,7,Switzerland,evaluate,0.0358,1.0000,7
16,5,Hungarian,evaluate,0.0181,0.9375,16
16,8,Switzerland,evaluate,0.0635,0.8571,7
17,4,Hungarian,fit,0.4124,0.8065,62
17,5,Hungarian,fit,0.4019,0.8635,63
17,10,VA_Long_Beach,fit,0.5281,0.7571,42
17,7,Switzerland,fit,0.4035,0.8960,25
17,9,VA_Long_Beach,fit,0.4940,0.7571,42
17,2,Cleveland,fit,0.3373,0.8308,65
17,3,Hungarian,fit,0.2673,0.9355,62
17,1,Cleveland,fit,0.4546,0.7844,64
17,11,VA_Long_Beach,fit,0.4996,0.7674,43
17,0,Cleveland,fit,0.3185,0.8750,64
17,8,Switzerland,fit,0.3643,0.9259,27
17,6,Switzerland,fit,0.2856,0.9600,25
17,4,Hungarian,evaluate,0.0327,0.6875,16
17,5,Hungarian,evaluate,0.0178,0.9375,16
17,3,Hungarian,evaluate,0.0320,0.7500,16
17,9,VA_Long_Beach,evaluate,0.0452,0.8182,11
17,11,VA_Long_Beach,evaluate,0.0570,0.7273,11
17,0,Cleveland,evaluate,0.0214,0.8750,16
17,7,Switzerland,evaluate,0.0336,1.0000,7
17,1,Cleveland,evaluate,0.0333,0.6875,16
17,10,VA_Long_Beach,evaluate,0.0348,0.8182,11
17,8,Switzerland,evaluate,0.0629,0.8571,7
17,2,Cleveland,evaluate,0.0223,0.9412,17
17,6,Switzerland,evaluate,0.1067,0.5714,7
18,3,Hungarian,fit,0.2650,0.9355,62
18,9,VA_Long_Beach,fit,0.4967,0.7524,42
18,10,VA_Long_Beach,fit,0.5350,0.7619,42
18,0,Cleveland,fit,0.3143,0.8781,64
18,2,Cleveland,fit,0.3280,0.8308,65
18,11,VA_Long_Beach,fit,0.5121,0.7674,43
18,8,Switzerland,fit,0.3538,0.9259,27
18,6,Switzerland,fit,0.2758,0.9600,25
18,7,Switzerland,fit,0.4137,0.8880,25
18,4,Hungarian,fit,0.4096,0.8065,62
18,1,Cleveland,fit,0.4521,0.7844,64
18,5,Hungarian,fit,0.3950,0.8603,63
18,11,VA_Long_Beach,evaluate,0.0574,0.7273,11
18,3,Hungarian,evaluate,0.0323,0.7500,16
18,0,Cleveland,evaluate,0.0213,0.8125,16
18,2,Cleveland,evaluate,0.0220,0.9412,17
18,9,VA_Long_Beach,evaluate,0.0450,0.8182,11
18,8,Switzerland,evaluate,0.0625,0.8571,7
18,6,Switzerland,evaluate,0.1068,0.5714,7
18,1,Cleveland,evaluate,0.0333,0.6875,16
18,7,Switzerland,evaluate,0.0316,1.0000,7
18,10,VA_Long_Beach,evaluate,0.0343,0.8182,11
18,5,Hungarian,evaluate,0.0177,0.9375,16
18,4,Hungarian,evaluate,0.0327,0.6875,16
19,8,Switzerland,fit,0.3455,0.9259,27
19,0,Cleveland,fit,0.3065,0.8812,64
19,2,Cleveland,fit,0.4138,0.8308,65
19,9,VA_Long_Beach,fit,0.4934,0.7381,42
19,10,VA_Long_Beach,fit,0.5223,0.7619,42
19,6,Switzerland,fit,0.2583,0.9600,25
19,7,Switzerland,fit,0.3953,0.8960,25
19,3,Hungarian,fit,0.2599,0.9355,62
19,1,Cleveland,fit,0.4507,0.7844,64
19,11,VA_Long_Beach,fit,0.4895,0.7674,43
19,4,Hungarian,fit,0.4030,0.8065,62
19,5,Hungarian,fit,0.3881,0.8698,63
19,10,VA_Long_Beach,evaluate,0.0338,0.8182,11
19,1,Cleveland,evaluate,0.0333,0.6875,16
19,5,Hungarian,evaluate,0.0176,0.9375,16
19,2,Cleveland,evaluate,0.0218,0.9412,17
19,7,Switzerland,evaluate,0.0296,1.0000,7
19,8,Switzerland,evaluate,0.0622,0.8571,7
19,3,Hungarian,evaluate,0.0325,0.7500,16
19,11,VA_Long_Beach,evaluate,0.0577,0.7273,11
19,4,Hungarian,evaluate,0.0328,0.6875,16
19,6,Switzerland,evaluate,0.1070,0.5714,7
19,0,Cleveland,evaluate,0.0212,0.8125,16
19,9,VA_Long_Beach,evaluate,0.0447,0.8182,11
20,10,VA_Long_Beach,fit,0.5354,0.7619,42
20,8,Switzerland,fit,0.3458,0.9259,27
20,11,VA_Long_Beach,fit,0.4918,0.7721,43
20,5,Hungarian,fit,0.3822,0.8698,63
20,3,Hungarian,fit,0.2523,0.9355,62
20,1,Cleveland,fit,0.4502,0.7812,64
20,9,VA_Long_Beach,fit,0.4969,0.7429,42
20,0,Cleveland,fit,0.3017,0.8906,64
20,7,Switzerland,fit,0.3791,0.9120,25
20,6,Switzerland,fit,0.2556,0.9600,25
20,2,Cleveland,fit,0.3409,0.8308,65
20,4,Hungarian,fit,0.4008,0.8065,62
20,8,Switzerland,evaluate,0.0619,0.8571,7
20,9,VA_Long_Beach,evaluate,0.0444,0.8182,11
20,10,VA_Long_Beach,evaluate,0.0334,0.8182,11
20,1,Cleveland,evaluate,0.0332,0.7500,16
20,7,Switzerland,evaluate,0.0280,1.0000,7
20,6,Switzerland,evaluate,0.1069,0.5714,7
20,4,Hungarian,evaluate,0.0328,0.6875,16
20,11,VA_Long_Beach,evaluate,0.0581,0.7273,11
20,3,Hungarian,evaluate,0.0328,0.7500,16
20,0,Cleveland,evaluate,0.0211,0.8125,16
20,2,Cleveland,evaluate,0.0217,0.9412,17
20,5,Hungarian,evaluate,0.0176,0.9375,16
21,8,Switzerland,fit,0.3365,0.9259,27
21,0,Cleveland,fit,0.2969,0.8906,64
21,5,Hungarian,fit,0.3775,0.8794,63
21,3,Hungarian,fit,0.2496,0.9355,62
21,4,Hungarian,fit,0.3943,0.8065,62
21,9,VA_Long_Beach,fit,0.5108,0.7381,42
21,10,VA_Long_Beach,fit,0.5259,0.7619,42
21,1,Cleveland,fit,0.4471,0.7844,64
21,6,Switzerland,fit,0.2450,0.9600,25
21,2,Cleveland,fit,0.4342,0.8308,65
21,11,VA_Long_Beach,fit,0.5007,0.7860,43
21,7,Switzerland,fit,0.3711,0.9040,25
21,1,Cleveland,evaluate,0.0331,0.7500,16
21,8,Switzerland,evaluate,0.0617,0.8571,7
21,3,Hungarian,evaluate,0.0330,0.7500,16
21,10,VA_Long_Beach,evaluate,0.0330,0.8182,11
21,4,Hungarian,evaluate,0.0328,0.6875,16
21,5,Hungarian,evaluate,0.0177,0.9375,16
21,11,VA_Long_Beach,evaluate,0.0585,0.7273,11
21,7,Switzerland,evaluate,0.0265,1.0000,7
21,9,VA_Long_Beach,evaluate,0.0442,0.8182,11
21,6,Switzerland,evaluate,0.1067,0.5714,7
21,0,Cleveland,evaluate,0.0213,0.8125,16
21,2,Cleveland,evaluate,0.0217,0.9412,17
22,10,VA_Long_Beach,fit,0.5184,0.7619,42
22,2,Cleveland,fit,0.3184,0.8308,65
22,11,VA_Long_Beach,fit,0.4932,0.7767,43
22,1,Cleveland,fit,0.4451,0.7812,64
22,3,Hungarian,fit,0.2452,0.9355,62
22,6,Switzerland,fit,0.2396,0.9600,25
22,7,Switzerland,fit,0.3588,0.9040,25
22,8,Switzerland,fit,0.3341,0.9259,27
22,9,VA_Long_Beach,fit,0.5066,0.7333,42
22,5,Hungarian,fit,0.3711,0.8857,63
22,4,Hungarian,fit,0.3910,0.8065,62
22,0,Cleveland,fit,0.2934,0.8906,64
22,6,Switzerland,evaluate,0.1070,0.5714,7
