round,cid,location,phase,loss,accuracy,num_samples
5,7,Switzerland,fit,0.5454,0.9360,25
5,4,Hungarian,fit,0.6697,0.5710,62
5,8,Switzerland,fit,0.5730,0.8815,27
5,2,Cleveland,fit,0.6357,0.6215,65
5,9,VA_Long_Beach,fit,0.6219,0.6667,42
5,0,Cleveland,evaluate,0.0408,0.7500,16
5,7,Switzerland,evaluate,0.0795,0.8571,7
5,3,Hungarian,evaluate,0.0416,0.5000,16
5,11,VA_Long_Beach,evaluate,0.0480,0.9091,11
5,8,Switzerland,evaluate,0.0863,0.7143,7
5,5,Hungarian,evaluate,0.0440,0.3125,16
5,1,Cleveland,evaluate,0.0412,0.8125,16
5,6,Switzerland,evaluate,0.0868,1.0000,7
5,4,Hungarian,evaluate,0.0427,0.4375,16
5,2,Cleveland,evaluate,0.0809,0.5294,17
5,9,VA_Long_Beach,evaluate,0.0485,0.9091,11
5,10,VA_Long_Beach,evaluate,0.0588,0.6364,11
6,8,Switzerland,fit,0.5594,0.8815,27
6,4,Hungarian,fit,0.6477,0.6710,62
6,5,Hungarian,fit,0.6307,0.7365,63
6,3,Hungarian,fit,0.6460,0.7387,62
6,7,Switzerland,fit,0.5252,0.9200,25
6,6,Switzerland,fit,0.5429,0.9440,25
6,10,VA_Long_Beach,fit,0.5878,0.7667,42
6,9,VA_Long_Beach,fit,0.6093,0.6905,42
6,0,Cleveland,fit,0.6069,0.8031,64
6,1,Cleveland,fit,0.6060,0.7875,64
6,11,VA_Long_Beach,fit,0.6058,0.7209,43
6,2,Cleveland,fit,0.6529,0.7169,65
6,7,Switzerland,evaluate,0.0765,0.8571,7
6,9,VA_Long_Beach,evaluate,0.0460,0.8182,11
6,10,VA_Long_Beach,evaluate,0.0583,0.5455,11
6,6,Switzerland,evaluate,0.0851,1.0000,7
6,0,Cleveland,evaluate,0.0399,0.8125,16
6,11,VA_Long_Beach,evaluate,0.0456,0.9091,11
6,1,Cleveland,evaluate,0.0398,0.8750,16
6,4,Hungarian,evaluate,0.0415,0.6250,16
6,2,Cleveland,evaluate,0.0779,0.5882,17
6,8,Switzerland,evaluate,0.0846,0.7143,7
6,5,Hungarian,evaluate,0.0424,0.5000,16
6,3,Hungarian,evaluate,0.0398,0.8125,16
7,2,Cleveland,fit,0.6050,0.7477,65
7,11,VA_Long_Beach,fit,0.5942,0.7163,43
7,8,Switzerland,fit,0.5432,0.8741,27
7,6,Switzerland,fit,0.5284,0.9200,25
7,3,Hungarian,fit,0.6237,0.8194,62
7,7,Switzerland,fit,0.5004,0.9040,25
7,9,VA_Long_Beach,fit,0.5950,0.6857,42
7,0,Cleveland,fit,0.5760,0.8781,64
7,4,Hungarian,fit,0.6224,0.7645,62
7,5,Hungarian,fit,0.6010,0.8254,63
7,1,Cleveland,fit,0.5794,0.8313,64
7,10,VA_Long_Beach,fit,0.5734,0.7857,42
7,3,Hungarian,evaluate,0.0379,0.8750,16
7,4,Hungarian,evaluate,0.0403,0.6250,16
7,0,Cleveland,evaluate,0.0389,0.8125,16
7,7,Switzerland,evaluate,0.0729,0.8571,7
7,1,Cleveland,evaluate,0.0385,0.8750,16
7,11,VA_Long_Beach,evaluate,0.0429,0.9091,11
7,2,Cleveland,evaluate,0.0747,0.5882,17
7,8,Switzerland,evaluate,0.0826,0.7143,7
7,5,Hungarian,evaluate,0.0407,0.7500,16
7,10,VA_Long_Beach,evaluate,0.0578,0.5455,11
7,9,VA_Long_Beach,evaluate,0.0432,0.8182,11
7,6,Switzerland,evaluate,0.0830,1.0000,7
8,2,Cleveland,fit,0.5810,0.7508,65
8,1,Cleveland,fit,0.5544,0.8375,64
8,4,Hungarian,fit,0.5958,0.7968,62
8,8,Switzerland,fit,0.5230,0.8741,27
8,5,Hungarian,fit,0.5673,0.8635,63
8,11,VA_Long_Beach,fit,0.5813,0.6977,43
8,9,VA_Long_Beach,fit,0.5700,0.6905,42
8,0,Cleveland,fit,0.5468,0.9000,64
8,3,Hungarian,fit,0.6019,0.8161,62
8,7,Switzerland,fit,0.4810,0.8960,25
8,10,VA_Long_Beach,fit,0.5623,0.8000,42
8,6,Switzerland,fit,0.5003,0.8800,25
8,1,Cleveland,evaluate,0.0371,0.8750,16
8,0,Cleveland,evaluate,0.0379,0.7500,16
8,7,Switzerland,evaluate,0.0688,0.8571,7
8,10,VA_Long_Beach,evaluate,0.0575,0.5455,11
8,9,VA_Long_Beach,evaluate,0.0402,0.8182,11
